dc,dinve ,dy ,labobs,pinfobs,dw,robs
0.19911198,3.692342404,-0.509558479,5.564135203,1.668886901,1.267532989,0.209166667
-0.245876388,7.233715395,1.249325947,4.452853237,2.436408382,-0.082763104,0.251666667
0.479459947,3.057375942,1.171502975,3.90304111,0.796502772,1.527458429,0.2725
1.075241831,0.933130315,1.415235762,2.612665386,0.891466648,0.443666669,0.275
-0.54106916,-0.232738178,0.197593608,0.97550105,1.835904697,0.193046632,0.2875
0.036597105,-0.507397998,-0.028733706,0.610168992,0.305273839,0.682272396,0.31
-0.246012816,-5.498312651,-1.549933475,0.993650823,-0.534842351,1.141328931,0.3175
1.707452041,-2.441787271,-0.544320275,2.021544468,-1.000932286,1.233220428,0.3175
-0.185580408,-1.122429363,0.735478235,2.063490043,-0.465369645,0.697119459,0.285833333
1.072745513,2.866553039,-1.126905673,3.249138579,0.007773934,-0.332374265,0.294166667
1.349820218,5.768323647,3.585880236,3.202520148,-0.147808187,2.692941555,0.300833333
1.458756497,9.415701373,2.695012105,3.57400044,0.334201531,1.793776627,0.313333333
4.6886622,7.255255207,3.552723801,4.258457423,2.149299806,-0.217720876,0.33
-3.049671152,-1.890108191,1.989883562,4.220673171,1.858383994,0.610877265,0.359166667
2.221525701,-3.681656949,1.589087161,5.341893346,3.551535626,-1.183196911,0.366666667
-2.429988559,-3.376480797,2.007289405,4.688475441,0.659689758,1.532347207,0.3975
1.274560621,-0.689497637,2.075446675,4.274336587,0.05715919,1.07120257,0.425833333
0.581820748,-1.077121078,0.042181965,4.284754338,1.136375865,0.749161786,0.4275
0.534905016,1.842519157,0.898706156,6.997949256,-0.049447251,1.105588498,0.416666667
1.753623704,1.92836362,0.17321394,6.139067734,0.120043795,0.616536391,0.436666667
-0.310329809,-6.8695741,0.395680755,5.913377359,1.115840203,0.112582154,0.470833333
3.031282175,6.531265443,2.904170471,5.090918166,0.271805583,2.196525102,0.498333333
0.580956603,3.114254661,0.896393243,2.703857388,0.020877553,1.108032373,0.52
0.330708965,0.896454038,0.552554396,2.558184551,0.201591949,0.987482703,0.563333333
-0.307722827,0.351927946,-0.758785862,0.641263988,0.415801015,0.633412662,0.514166667
-0.749454113,-1.621352,-1.851051883,1.11659131,0.186547883,0.816146283,0.393333333
0.201887522,-1.994612057,-0.832418935,1.374212762,0.317023008,0.534498901,0.29
0.771530657,1.580699208,-0.184799387,2.411107062,0.089411609,0.034165069,0.2225
0.636825806,3.354380287,0.879051102,3.621114246,0.130534868,0.660260923,0.2
1.400854566,1.682799834,1.639189821,4.572129467,0.274254543,0.70119301,0.2125
1.716281831,3.014912584,2.457038955,5.889732981,0.464513439,0.209238786,0.3475
1.289847347,4.061470217,1.322946861,5.541925358,0.414867804,0.40818211,0.3575
0.543289639,2.36710722,0.962723148,5.472361851,0.696631271,1.063739171,0.42
0.266025318,0.433749524,0.332021145,5.700247101,0.985890417,-0.083930068,0.56
-0.701168856,-0.918891677,-0.66581216,4.538314021,0.996090313,0.554839966,0.6125
0.172970751,1.278698701,0.587672452,4.565411464,0.592926172,1.304479327,0.655
-0.381354785,0.125543413,-0.422809106,5.029492155,1.246793134,0.28360498,0.6875
1.268864575,-0.41290316,1.348234858,4.15538385,0.401398959,1.277203479,0.74
-0.03244413,-0.738924825,0.37721765,2.255401823,1.360477892,0.045276315,0.71
-0.165290923,-1.392384027,-0.493974297,0.375153451,0.698681704,0.308652821,0.75
0.661063098,0.751005086,0.632772117,-0.026811688,0.593211382,0.73430849,0.7475
0.140301527,-1.690088236,-1.388957269,-0.120176532,0.06918892,1.285300792,0.875
-1.620143352,-8.051668895,-3.008732394,-0.051987239,1.075682667,-1.046118735,0.68
0.469533668,-2.591683374,0.410541894,1.218236671,0.291934739,0.605592068,0.315
0.837263394,0.767966368,2.012149556,1.787193243,0.605987509,1.681977919,0.17
0.476328636,5.108850446,1.950454204,1.76306937,0.473570183,-0.087772748,0.45
1.874120201,5.25374393,1.513113684,2.393441656,0.232886052,0.732208012,0.62
1.433238256,2.969188314,1.878150747,3.281764126,0.152919258,0.676961024,0.74
0.87210622,0.597051878,-0.313988592,2.510691072,0.384322572,0.202271289,0.8675
-0.056250238,-1.701924023,-0.034683135,1.530154934,0.39498122,0.575092906,0.995
0.000508357,2.341387571,1.537773379,0.850556042,0.399467908,1.702137825,0.9975
1.250757734,-2.18416064,-0.811190945,0.013999321,0.253378514,0.40615682,0.98
-0.684369214,-2.847452777,0.171391839,0.153044368,0.342847168,0.259040559,0.8075
-0.032133469,-0.946232069,-1.599895118,-0.101649121,0.293791619,0.145301628,0.6175
-0.501186721,-1.693210561,0.238366562,-0.451209844,0.215298211,0.657146186,0.3625
0.937658865,1.176220943,1.389093343,-0.383611059,0.23271783,1.152744143,0.3725
0.262802669,1.754201565,1.576194563,-0.396118723,0.255960139,0.494075707,0.2925
